BookingID,CheckinDate,GuestID,RoomType,Nights,GuestsCount,TotalAmount,Source,Rating
9000,26-10-2025,2025,Suite,2,2,12000, Direct,5
9001,01-01-2025,2035,Suite,1,4,6000,Booking.com,5
9002,27-11-2025,2031,Dormitory,2,2,1800,GoIbibo,4
9003,15-01-2025,2046,Suite,4,1,24000,Direct,4
9004,13-09-2025,2006,Suite,4,2,24000,MakeMyTrip ,4
9005,09-07-2025,2032,Deluxe,2,3,7000,MakeMyTrip ,4
9006,05-07-2025,2013,Deluxe,4,3,14000,MakeMyTrip ,2
9007,16-09-2025,2014,Cottage,1,2,,Booking.com,2
9008,10-04-2025,2030,Standard,2,3,4000, Direct,5
9009,25-02-2025,2032,Dormitory,,2,,MakeMyTrip,4
9010,02-08-2025,2039,Standard,1,4,2000,Direct,4
9011,13-01-2025,2010,Cottage,,1,,MakeMyTrip ,3
9012,05-04-2025,2029,Suite,4,1,24000,Direct,4
9013,18-06-2025,2012,Dormitory,2,4,1800,Direct,5
9014,07-12-2025,2054,Suite,4,3,24000,direct,4
9015,25-02-2025,2006,Suite,1,1,90000,Booking.com,4
9016,05-03-2025,2049,Standard,,4,,Booking.com,2
9017,08-06-2025,2006,Deluxe,4,4,14000,MakeMyTrip,5
9018,05-10-2025,2013,Suite,4,3,24000,MakeMyTrip ,4
9019,16-01-2025,2016,Cottage,4,1,18000,direct,3
9020,26-08-2025,2052,Deluxe,1,3,,MakeMyTrip,
9021,02-02-2025,2022,Suite,,3,,Booking.com,5
9022,23-01-2025,2048,Suite,3,3,18000,Booking.com,3
9023,01-11-2025,2002,Standard,1,1,2000,direct,
9024,27-08-2025,2051,Suite,4,4,24000, Direct,4
9025,09-03-2025,2012,Deluxe,4,3,, Direct,
9026,19-03-2025,2016,Suite,,3,,direct,5
9027,02-11-2025,2033,Standard,1,4,2000, Direct,4
9028,07-05-2025,2005,Deluxe,4,4,14000,GoIbibo,5
9029,16-06-2025,2028,Deluxe,2,1,7000,Booking.com,5
9030,13-02-2025,2007,Cottage,2,4,9000,MakeMyTrip ,4
9031,30-03-2025,2009,Cottage,2,4,9000,GoIbibo,
9032,01-05-2025,2055,Deluxe,,3,,Booking.com,5
9033,18-10-2025,2024,Suite,3,3,18000,MakeMyTrip,4
9034,07-05-2025,2016,Standard,2,2,4000,Booking.com,5
9035,07-04-2025,2005,Cottage,3,3,13500,MakeMyTrip,5
9036,27-09-2025,2042,Deluxe,2,4,7000,Direct,3
9037,03-01-2025,2057,Standard,4,4,120000,Booking.com,3
9038,31-05-2025,2008,Deluxe,2,2,7000,GoIbibo,2
9039,26-10-2025,2060,Deluxe,2,3,7000,GoIbibo,2
9040,02-04-2025,2039,Suite,4,1,24000,Direct,
9041,02-11-2025,2023,Standard,,1,,Booking.com,5
9042,14-03-2025,2014,Suite,1,1,6000,GoIbibo,
9043,30-11-2025,2053,Deluxe,2,3,7000,direct,
9044,10-07-2025,2040,Suite,2,1,12000,MakeMyTrip,3
